username,password,email,first_name,last_name,is_super_user,is_staff_user
"customeruser1","Pass123!","customeruser1@email.com","customeruser1","customeruser1",FALSE,FALSE
"customeruser2","Pass123!","customeruser2@email.com","customeruser2","customeruser2",FALSE,FALSE
"customeruser3","Pass123!","customeruser3@email.com","customeruser3","customeruser3",FALSE,FALSE
"customeruser4","Pass123!","customeruser4@email.com","customeruser4","customeruser4",FALSE,FALSE
"adminuser1","Pass123!","adminuser1@email.com","adminuser1","adminuser1",TRUE,TRUE
"adminuser2","Pass123!","adminuser2@email.com","adminuser2","adminuser2",TRUE,TRUE
"adminuser3","Pass123!","adminuser3@email.com","adminuser3","adminuser3",TRUE,TRUE
"adminuser4","Pass123!","adminuser4@email.com","adminuser4","adminuser4",TRUE,TRUE
"deliveryuser1","Pass123!","deliveryuser1@email.com","deliveryuser1","deliveryuser1",FALSE,TRUE
"deliveryuser2","Pass123!","deliveryuser2@email.com","deliveryuser2","deliveryuser2",FALSE,TRUE
"deliveryuser3","Pass123!","deliveryuser3@email.com","deliveryuser3","deliveryuser3",FALSE,TRUE
"deliveryuser4","Pass123!","deliveryuser4@email.com","deliveryuser4","deliveryuser4",FALSE,TRUE
